# Cath codes,,,,,
# uniserid,spsindex,spsdes,codval,codmea,codschdes
CATH.001^Cardiac Cath Consultation^99IHE,100,Left Heart Cath,XX-20011,Left Heart Cath,99IHE
CATH.001^Cardiac Cath Consultation^99IHE,101,Left Heart Cath,XX-20012,IVUS Heart Cath,99IHE
CATH.001^Cardiac Cath Consultation^99IHE,102,Left Heart Cath,XX-20013,XR Left Heart Cath,99IHE
ECHO.001^TTE^99IHE,103,TTE,XX-20021,TTE,99IHE
ECHO.002^STRESS ECHO^99IHE,104,Stress Echo,XX-20031,Stress Echo,99IHE
IMP200^Media Import^99IHE,105,Media Import,IRWF-200,Import One Step,99IHE
10110^US Procedure 1^99IHE,106,US: One,910110,US: One,99IHE
10150^US Procedure 2^99IHE,107,US: Two,910150,US: Two,99IHE
10210^Radiological Examination: Chest X-Ray^99IHE,108,CR: CXR,910210,CR: CXR,99IHE
10250^Radiological Examination: Abdominal X-Ray^99IHE,109,CR: Abdomen,910250,CR: Abdomen,99IHE
10310^Ultrasound Examination: Cardiac Screening^99IHE,110,US: Screening,910310,US: Screening,99IHE
10350^Ultrasound Examination: Stress Echo^99IHE,111,US: Stress Echo,910350,US: Stress Echo,99IHE
STRESS-7131C^Stress Test: Balke^99IHE,112,Stress Test: Balke,P2-7131C,Balke Protocol,99IHE
STRESS-7131C^NM Procedure 1^99IHE,113,NM Procedure 1,STR-NM1,Stress-NM1,99IHE
STRESS-7131C^Stress Echo 1^99IHE,114,Stress Echo 1,STR-US1,Stress-US1,99IHE
STRESS-7131E^Stress Test: Ramp^99IHE,115,Stress Test: Ramp,P2-7131E,Ramp Protocol,99IHE
STRESS-7131E^NM Procedure 2^99IHE,116,NM Procedure 2,STR-NM2,Stress-NM2,99IHE
STRESS-7131E^Stress Echo 2^99IHE,117,Stress Echo 2,STR-US2,Stress-US2,99IHE
STR-DOBUTAMINE^Stress Test: Dobutamine^99IHE,118,Stress Test: Dobutamine,DOBUTAMINE,Dobutamine Stress Protocol,99IHE
10410^Radiological Examination: Left Leg^99IHE,119,DX: Leg,910410,DX: Leg,99IHE
10450^Radiological Examination: Left Ankle^99IHE,120,DX: Ankle,914050,DX: Ankle,99IHE
10610^Radiological Examination Hand^99IHE,106101,CR: Hand,910610,CR: Hand,99IHE
10650^Radiological Examination Wrist^99IHE,106501,CR: Wrist,910650,CR:
Wrist,99IHE
10710^Transabdominal Ultrasound Scan^99IHE,121,US: Transabdominal,910710,US: Transabdominal,99IHE
10750^Endovaginal Pelvic Scan^99IHE,122,US: Endovaginal Pelvis,910750,US: Endovaginal Pelvis,99IHE
10810^Radiological Examination Right Leg^99IHE,108101,CR: Right Leg,910810,CR: Right Leg,99IHE
10850^Radiological Examination Right Ankle^99IHE,108501,CR: Right Ankle,910850,CR: Right Ankle,99IHE
10910^Computed Tomography: Chest^99IHE,123,CT: Chest,910910,CT: Chest,99IHE
10950^Computed Tomography: Abdomen^99IHE,124,CT: Abdomen,910950,CT: Abdomen,99IHE
11010^Magnetic Resonance Imaging: Head^99IHE,125,MR: Head,911010,MR: Head,99IHE
11050^Magnetic Resonance Imaging: Neck^99IHE,126,MR: Neck,911050,MR: Neck,99IHE
11210^Angiography: Cardiac^99IHE,127,XA: Cardiac,911210,XA: Cardiac,99IHE
11250^Angiography: Carotid^99IHE,128,XA: Carotid,911250,XA: Carotid,99IHE
11260^CTA: Coronary CT Angiography^99IHE,129,CTA: Coronary CT Angiography,911260,CT: CT Angiography,99IHE
11270^EP: Ablation^99IHE,130,EP: Ablation,911270,EP: Ablation Procedure,99IHE
11410^Radiological Examination Ankle^99IHE,114101,DX: Ankle,911410,DX: Ankle,99IHE
11450^Radiological Examination Foot^99IHE,114501,DX: Foot,911510,DX: Foot,99IHE
11510^Radiological Examination: Mammography^99IHE,131,MG: Mammography,911510,MG: Mammography,99IHE
11610^Radiological Examination: Skull^99IHE,132,CR: Skull,911610,CR: Skull,99IHE
11650^Radiological Examination: C-Spine^99IHE,133,CR: C-Spine,911650,CR: C-Spine,99IHE
11810^OB-GYN Ultrasound^99IHE,134,US: OB-GYN,911810,US: OB-GYN,99IHE
